prompt_len,concurrency,n_iterations,mean_latency_mean,mean_latency_lo,mean_latency_hi,p95_latency_mean,p95_latency_lo,p95_latency_hi,p99_latency_mean,p99_latency_lo,p99_latency_hi,mean_ttft_mean,mean_ttft_lo,mean_ttft_hi,p95_ttft_mean,p95_ttft_lo,p95_ttft_hi,p99_ttft_mean,p99_ttft_lo,p99_ttft_hi,requests_per_second_mean,requests_per_second_lo,requests_per_second_hi,tokens_per_second_mean,tokens_per_second_lo,tokens_per_second_hi,error_rate_mean,error_rate_lo,error_rate_hi,timeout_rate_mean,timeout_rate_lo,timeout_rate_hi
128,1,3,4.250440101711239,4.250406427158623,4.2504737762638545,4.250936086366679,4.250554922586406,4.251317250146953,4.251025075406887,4.250659307499696,4.251390843314079,0.04232689351121938,0.042181468359187034,0.04247231866325172,0.04283757626699298,0.04242389039242348,0.043251262141562476,0.04291615658718001,0.04249875781364944,0.04333355536071058,0.2352664872771907,0.23526453493114813,0.2352684396232333,30.11411037148041,30.11386047118696,30.11436027177386,0.0,0.0,0.0,0.0,0.0,0.0
128,2,3,4.290882498940488,4.290274271592241,4.2914907262887345,4.292451656249978,4.29106433988175,4.293838972618206,4.297243556936838,4.296387382781275,4.2980997310924005,0.06787039359527451,0.06783057018595641,0.06791021700459261,0.06907895190006456,0.06880720822500232,0.06935069557512681,0.07400280241694418,0.07369565824847298,0.07430994658541538,0.46597501312999484,0.46591653536725486,0.4660334908927348,59.64480168063934,59.63731652700862,59.65228683427006,0.0,0.0,0.0,0.0,0.0,0.0
128,4,3,4.317374713892799,4.31704693122179,4.3177024965638084,4.320663770416407,4.318787018247339,4.3225405225854745,4.327317071183673,4.326006645199003,4.328627497168343,0.06966470260707476,0.06957809566050421,0.06975130955364531,0.07274805925029189,0.07247953541225176,0.07301658308833202,0.07975549908354272,0.07864059234478829,0.08087040582229715,0.9263433380154839,0.9262614975320492,0.9264251784989185,118.57194726598193,118.5614716841023,118.58242284786157,0.0,0.0,0.0,0.0,0.0,0.0
128,8,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
128,16,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
128,32,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
512,1,3,3.917543006583363,3.917491833327283,3.917594179839443,3.9180404020833066,3.91786190660647,3.918218897560143,3.9182181542831587,3.9180694723856373,3.91836683618068,0.0693503987083659,0.06930073104066743,0.06940006637606437,0.06978327725005329,0.06932891525788255,0.07023763924222402,0.06990749385017807,0.06918559925311504,0.07062938844724109,0.255258285736314,0.25525496267222486,0.2552616088004031,29.609961145412427,29.60957566997808,29.610346620846773,0.0,0.0,0.0,0.0,0.0,0.0
512,2,3,3.4656489108240804,3.465429684413819,3.465868137234342,3.466192106999794,3.4656842817364155,3.466699932263172,3.466769854649692,3.4655162653529956,3.4680234439463886,0.06903672937967174,0.0688165319985994,0.06925692676074409,0.06967060366688808,0.06891844181358078,0.07042276552019539,0.06982354725021954,0.06875980290322645,0.07088729159721263,0.5770810241540926,0.5770472667085912,0.577114781599594,58.86226446371743,58.85882120427629,58.86570772315857,0.0,0.0,0.0,0.0,0.0,0.0
512,4,3,3.488464583888879,3.48831483900094,3.488614328776818,3.489396321566907,3.489014824364512,3.4897778187693023,3.489903104613101,3.4886975771299986,3.491108632096203,0.07167489626852297,0.07156987883027627,0.07177991370676967,0.0723564689168749,0.0722147486573594,0.0724981891763904,0.07258040304326036,0.07210157430341185,0.07305923178310886,1.1466151024289177,1.1465671683296077,1.1466630365282278,116.9547404477496,116.94985116961998,116.95962972587922,0.0,0.0,0.0,0.0,0.0,0.0
512,8,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
